id,dim_0,dim_1,sim_calc_num,point_type,cluster_id
1984,21.726999999999997,71.013,3030,-1,[-1]
1978,32.783,69.609,3029,-1,[-1]
2026,17.618,76.707,3028,-1,[-1]
2021,24.719,76.158,3027,-1,[-1]
2038,22.438000000000002,77.946,3026,-1,[-1]
2019,29.381999999999998,76.012,3025,-1,[-1]
1966,47.035,68.538,3024,-1,[-1]
2053,23.927,80.50399999999999,3023,-1,[-1]
2007,40.033,74.325,3022,-1,[-1]
2031,35.155,77.012,3021,-1,[-1]
2056,28.05,80.915,3020,-1,[-1]
2059,28.819000000000003,81.143,3019,-1,[-1]
1995,48.953,71.91,3018,-1,[-1]
1971,54.093999999999994,68.93,3017,-1,[-1]
2064,38.135,81.592,3016,-1,[-1]
2016,50.613,75.77199999999999,3015,-1,[-1]
2120,21.191,90.175,3014,-1,[-1]
2111,26.029,89.20299999999999,3013,-1,[-1]
2000,58.985,72.888,3012,-1,[-1]
2043,50.868,78.939,3011,-1,[-1]
2086,41.348,84.67399999999999,3010,-1,[-1]
2027,54.673,76.753,3009,-1,[-1]
2037,55.245,77.925,3008,-1,[-1]
2083,45.832,84.49,3007,-1,[-1]
2028,60.474,76.76100000000001,3006,-1,[-1]
2176,18.619,96.615,3005,-1,[-1]
2087,51.148999999999994,85.005,3004,-1,[-1]
2023,64.69,76.368,3003,-1,[-1]
2159,34.828,94.23899999999999,3002,-1,[-1]
2020,65.628,76.131,3001,-1,[-1]
2171,32.332,96.07600000000001,3000,-1,[-1]
2177,30.025,97.059,2999,-1,[-1]
2047,68.587,79.172,2998,-1,[-1]
2018,73.408,75.876,2997,-1,[-1]
2173,45.044,96.23700000000001,2996,-1,[-1]
2210,31.865,101.905,2995,-1,[-1]
2114,59.543,89.465,2994,-1,[-1]
1983,81.168,70.878,2993,-1,[-1]
2100,65.152,87.445,2992,-1,[-1]
2219,38.412,102.88600000000001,2991,-1,[-1]
2095,67.625,86.571,2990,-1,[-1]
2230,36.662,104.369,2989,-1,[-1]
2257,14.943,109.986,2988,-1,[-1]
2232,39.133,104.49799999999999,2987,-1,[-1]
2061,77.37,81.32600000000001,2986,-1,[-1]
2125,67.907,90.611,2985,-1,[-1]
2084,75.458,84.596,2984,-1,[-1]
2066,79.447,81.78,2983,-1,[-1]
2109,71.383,88.961,2982,-1,[-1]
2274,20.122,112.335,2981,-1,[-1]
1979,90.353,69.805,2980,-1,[-1]
2119,70.26,90.16799999999999,2979,-1,[-1]
2273,33.275999999999996,112.226,2978,-1,[-1]
2268,37.275,111.523,2977,-1,[-1]
2263,42.772,110.76799999999999,2976,-1,[-1]
2209,61.133,101.851,2975,-1,[-1]
2183,67.156,98.01100000000001,2974,-1,[-1]
2048,89.96799999999999,79.221,2973,-1,[-1]
2045,90.211,79.071,2972,-1,[-1]
2216,62.701,102.641,2971,-1,[-1]
2276,44.408,112.495,2970,-1,[-1]
2069,89.09899999999999,82.281,2969,-1,[-1]
2140,81.736,91.84700000000001,2968,-1,[-1]
2139,84.65,91.60600000000001,2967,-1,[-1]
2267,57.36600000000001,110.88,2966,-1,[-1]
2213,71.598,102.415,2965,-1,[-1]
2197,73.97800000000001,100.794,2964,-1,[-1]
2127,88.006,90.715,2963,-1,[-1]
2279,56.858000000000004,113.20700000000001,2962,-1,[-1]
2102,91.613,87.869,2961,-1,[-1]
2017,102.179,75.819,2960,-1,[-1]
2189,80.47,99.037,2959,-1,[-1]
2181,83.275,97.81299999999999,2958,-1,[-1]
2117,92.804,89.609,2957,-1,[-1]
2239,74.73,105.853,2956,-1,[-1]
2067,100.859,81.948,2955,-1,[-1]
2261,69.485,110.585,2954,-1,[-1]
2105,96.868,88.464,2953,-1,[-1]
1972,113.24600000000001,69.092,2952,-1,[-1]
2098,100.566,87.184,2951,-1,[-1]
2065,105.994,81.689,2950,-1,[-1]
1980,115.059,70.58800000000001,2949,-1,[-1]
2050,109.145,79.592,2948,-1,[-1]
2223,88.19200000000001,103.00200000000001,2947,-1,[-1]
1975,116.821,69.283,2946,-1,[-1]
2074,107.399,83.51700000000001,2945,-1,[-1]
2166,99.083,95.62299999999999,2944,-1,[-1]
2042,113.973,78.928,2943,-1,[-1]
1970,121.14299999999999,68.878,2942,-1,[-1]
2227,93.934,103.76,2941,-1,[-1]
2085,112.016,84.655,2940,-1,[-1]
2241,92.035,106.07799999999999,2939,-1,[-1]
1990,121.669,71.339,2938,-1,[-1]
2217,98.28299999999999,102.789,2937,-1,[-1]
2236,95.38,105.52,2936,-1,[-1]
2142,108.697,92.295,2935,-1,[-1]
2191,103.745,99.49700000000001,2934,-1,[-1]
1964,126.801,68.22800000000001,2933,-1,[-1]
728,37.458,140.053,2932,-1,[-1]
2212,102.728,102.351,2931,-1,[-1]
751,32.099000000000004,143.035,2930,-1,[-1]
718,50.861000000000004,138.893,2929,-1,[-1]
722,49.89,139.351,2928,-1,[-1]
733,47.45399999999999,140.403,2927,-1,[-1]
2013,129.035,75.443,2926,-1,[-1]
2003,130.284,73.42699999999999,2925,-1,[-1]
780,27.886999999999997,146.941,2924,-1,[-1]
731,53.696000000000005,140.333,2923,-1,[-1]
1969,133.637,68.782,2922,-1,[-1]
2131,119.98899999999999,91.21700000000001,2921,-1,[-1]
1997,132.484,72.435,2920,-1,[-1]
2082,125.307,84.46799999999999,2919,-1,[-1]
2282,99.84,113.85799999999999,2918,-1,[-1]
716,61.427,138.457,2917,-1,[-1]
809,22.171999999999997,150.049,2916,-1,[-1]
2253,107.594,109.229,2915,-1,[-1]
2255,107.186,109.662,2914,-1,[-1]
790,40.381,148.06799999999998,2913,-1,[-1]
2103,125.958,88.053,2912,-1,[-1]
823,24.271,152.19299999999998,2911,-1,[-1]
2147,123.146,92.85700000000001,2910,-1,[-1]
2077,130.003,83.758,2909,-1,[-1]
2195,118.059,100.32799999999999,2908,-1,[-1]
745,62.998999999999995,141.875,2907,-1,[-1]
812,39.912,150.513,2906,-1,[-1]
714,71.813,138.20600000000002,2905,-1,[-1]
765,57.351000000000006,144.958,2904,0,[0]
842,19.034000000000002,154.732,2903,-1,[-1]
741,67.96,141.335,2902,-1,[-1]
2269,110.56,111.854,2901,-1,[-1]
773,58.445,146.64,2900,1,[0]
799,56.551,148.808,2899,0,[0]
791,60.351000000000006,148.181,2898,0,[0]
2169,128.415,95.79,2897,-1,[-1]
755,70.308,144.13299999999998,2896,-1,[-1]
786,63.973,147.393,2895,-1,[-1]
2190,127.306,99.195,2894,-1,[-1]
2237,122.63600000000001,105.82799999999999,2893,-1,[-1]
813,59.9,150.54,2892,-1,[-1]
876,23.197,160.374,2891,-1,[-1]
2035,142.261,77.667,2890,-1,[-1]
2271,117.429,112.038,2889,-1,[-1]
1991,145.722,71.48100000000001,2888,-1,[-1]
759,75.993,144.485,2887,-1,[-1]
2108,137.036,88.84,2886,1,[1]
2075,140.64,83.611,2885,0,[1]
2096,139.114,86.72200000000001,2884,1,[1]
2004,146.881,73.517,2883,-1,[-1]
895,19.915,163.184,2882,-1,[-1]
897,20.410999999999998,163.543,2881,-1,[-1]
2115,138.531,89.48100000000001,2880,1,[1]
712,94.84200000000001,135.204,2879,-1,[-1]
891,31.56,162.172,2878,-1,[-1]
2101,140.329,87.48700000000001,2877,1,[1]
2246,126.396,107.061,2876,-1,[-1]
725,90.066,139.88,2875,-1,[-1]
2259,124.427,110.471,2874,-1,[-1]
899,30.176,163.656,2873,-1,[-1]
2264,124.33200000000001,110.81,2872,-1,[-1]
832,66.712,153.17,2871,-1,[-1]
1987,152.262,71.197,2870,-1,[-1]
2012,150.483,75.369,2869,-1,[-1]
2220,134.135,102.904,2868,-1,[-1]
828,72.44800000000001,153.101,2867,-1,[-1]
908,36.666,165.398,2866,-1,[-1]
2124,143.856,90.406,2865,-1,[-1]
2022,151.859,76.227,2864,-1,[-1]
2135,143.313,91.353,2863,-1,[-1]
931,24.745,168.548,2862,-1,[-1]
909,41.62,165.417,2861,-1,[-1]
740,95.795,141.15200000000002,2860,-1,[-1]
914,39.332,166.041,2859,-1,[-1]
2157,142.553,94.007,2858,-1,[-1]
2229,135.355,104.132,2857,-1,[-1]
833,76.828,153.21,2856,-1,[-1]
941,26.531999999999996,169.671,2855,-1,[-1]
2014,155.305,75.505,2854,-1,[-1]
943,32.81,170.112,2853,-1,[-1]
905,55.528999999999996,164.77599999999998,2852,-1,[-1]
968,18.067,173.055,2851,-1,[-1]
883,65.527,161.731,2850,-1,[-1]
762,97.647,144.72,2849,-1,[-1]
881,66.93,161.463,2848,-1,[-1]
2133,149.279,91.325,2847,-1,[-1]
860,73.251,159.11,2846,-1,[-1]
2154,147.988,93.75200000000001,2845,-1,[-1]
849,79.75,156.732,2844,-1,[-1]
