id,dim_0,dim_1,sim_calc_num,point_type,cluster_id
6446,9.443999999999999,36.062,9999,-1,[-1]
9978,16.472,39.292999,9998,-1,[-1]
4389,32.858002,28.35,9997,-1,[-1]
2181,32.537997999999995,29.874001,9996,-1,[-1]
8377,32.252998,37.026001,9995,-1,[-1]
7798,32.112999,40.091,9994,-1,[-1]
8809,31.013,41.915001000000004,9993,-1,[-1]
5570,32.469002,54.555,9992,-1,[-1]
7572,21.778999,68.495003,9991,-1,[-1]
192,52.852001,51.333,9990,-1,[-1]
4219,21.726999,71.013,9989,-1,[-1]
5677,25.923000000000002,70.788002,9988,-1,[-1]
2432,67.842003,32.918999,9987,-1,[-1]
1409,17.032,73.658997,9986,-1,[-1]
3996,24.323,72.668999,9985,-1,[-1]
2815,32.783001,69.609001,9984,-1,[-1]
6474,68.620003,35.877998,9983,-1,[-1]
2577,20.355,75.446999,9982,-1,[-1]
4527,17.618,76.707001,9981,-1,[-1]
9786,38.356998,69.88200400000001,9980,-1,[-1]
1371,35.547001,71.58899699999999,9979,-1,[-1]
9710,24.719,76.157997,9978,-1,[-1]
452,21.462,77.293999,9977,-1,[-1]
4009,30.276999999999997,74.372002,9976,-1,[-1]
9123,22.438000000000002,77.945999,9975,-1,[-1]
9679,29.381999999999998,76.012001,9974,-1,[-1]
361,68.998001,44.105999,9973,-1,[-1]
2322,33.903999,75.584,9972,-1,[-1]
7620,47.035,68.538002,9971,-1,[-1]
9002,23.927,80.503998,9970,-1,[-1]
7640,40.033001,74.324997,9969,-1,[-1]
3333,35.154999,77.012001,9968,-1,[-1]
474,41.458999999999996,74.058998,9967,-1,[-1]
4740,28.049999,80.915001,9966,-1,[-1]
4644,28.819000000000003,81.14299799999999,9965,-1,[-1]
9707,43.595001,74.542,9964,-1,[-1]
8760,48.952999,71.910004,9963,-1,[-1]
8520,54.848999,68.081001,9962,-1,[-1]
5097,54.094002,68.93,9961,-1,[-1]
2702,39.000999,78.473,9960,-1,[-1]
608,72.602997,49.363997999999995,9959,-1,[-1]
9868,50.943001,72.572998,9958,-1,[-1]
1718,36.923,80.758003,9957,-1,[-1]
5277,54.463001,70.22399899999999,9956,-1,[-1]
8101,33.797001,82.436996,9955,-1,[-1]
5904,38.134997999999996,81.592003,9954,-1,[-1]
5314,31.242001000000002,85.268997,9953,-1,[-1]
8764,50.612999,75.772003,9952,-1,[-1]
7962,23.504,88.291,9951,-1,[-1]
3893,22.938999,88.755997,9950,-1,[-1]
6966,86.696999,31.889,9949,-1,[-1]
1071,32.723,86.389,9948,-1,[-1]
9056,40.666,82.996002,9947,-1,[-1]
5088,21.191,90.175003,9946,-1,[-1]
5093,27.506001,88.503998,9945,-1,[-1]
8305,26.028999,89.20300300000001,9944,-1,[-1]
672,61.714001,69.726997,9943,-1,[-1]
2022,37.363997999999995,85.425003,9942,-1,[-1]
5889,80.120003,48.598,9941,-1,[-1]
1468,58.985001000000004,72.888,9940,-1,[-1]
9802,50.868,78.939003,9939,-1,[-1]
9360,59.868,72.511002,9938,-1,[-1]
9003,41.348,84.67400400000001,9937,-1,[-1]
1116,54.673,76.752998,9936,-1,[-1]
4425,48.702999,81.089996,9935,-1,[-1]
5994,65.510002,68.935997,9934,-1,[-1]
8424,55.244999,77.925003,9933,-1,[-1]
9581,41.633998999999996,86.157997,9932,-1,[-1]
3013,45.832001,84.489998,9931,-1,[-1]
371,57.223999,77.79900400000001,9930,-1,[-1]
5712,35.007,90.121002,9929,-1,[-1]
5479,32.729,91.022003,9928,-1,[-1]
139,50.758998999999996,82.452003,9927,-1,[-1]
1343,59.780998,76.366997,9926,-1,[-1]
5846,38.231998,89.275002,9925,-1,[-1]
5289,29.893,92.712997,9924,-1,[-1]
6678,32.168999,92.056999,9923,-1,[-1]
4917,64.726997,73.091003,9922,-1,[-1]
7653,60.473999,76.761002,9921,-1,[-1]
9697,44.277,87.349998,9920,-1,[-1]
7089,56.950001,79.730003,9919,-1,[-1]
4835,18.618999,96.614998,9918,-1,[-1]
6821,60.876999,77.748001,9917,-1,[-1]
2534,21.540001,96.425003,9916,-1,[-1]
4176,18.042999,97.253998,9915,-1,[-1]
7944,61.395,77.724998,9914,-1,[-1]
9979,51.148998,85.004997,9913,-1,[-1]
3577,53.195999,83.793999,9912,-1,[-1]
130,29.653999,94.833,9911,-1,[-1]
818,47.563999,87.391998,9910,-1,[-1]
3681,68.58899699999999,72.469002,9909,-1,[-1]
2935,64.690002,76.36799599999999,9908,-1,[-1]
1205,67.849998,73.643997,9907,-1,[-1]
1479,49.668999,87.056,9906,-1,[-1]
9203,34.827999,94.238998,9905,-1,[-1]
811,65.627998,76.130997,9904,-1,[-1]
3579,8.441,100.528999,9903,-1,[-1]
4694,32.332001,96.07599599999999,9902,-1,[-1]
6834,25.855,98.250999,9901,-1,[-1]
1261,30.025,97.058998,9900,-1,[-1]
4598,33.074001,96.422997,9899,-1,[-1]
5139,27.35,98.527,9898,-1,[-1]
458,97.968002,29.370001000000002,9897,-1,[-1]
8250,17.962,100.805,9896,-1,[-1]
599,28.910999,99.315002,9895,-1,[-1]
9990,17.427,102.032997,9894,-1,[-1]
706,65.550003,80.113998,9893,-1,[-1]
5243,73.585999,72.905998,9892,-1,[-1]
3290,32.812,98.274002,9891,-1,[-1]
2457,36.789001,97.44899699999999,9890,-1,[-1]
2167,46.91,93.008003,9889,-1,[-1]
7754,74.010002,73.670998,9888,-1,[-1]
2345,96.295998,40.417999,9887,-1,[-1]
7138,55.605999,88.445,9886,-1,[-1]
9969,68.586998,79.17199699999999,9885,-1,[-1]
3474,19.620001000000002,102.929001,9884,-1,[-1]
5060,97.227997,39.798,9883,-1,[-1]
7945,73.407997,75.875999,9882,-1,[-1]
8567,50.986999999999995,92.807999,9881,-1,[-1]
1204,64.778,84.07399699999999,9880,-1,[-1]
5337,45.043999,96.23700000000001,9879,-1,[-1]
2710,20.507998999999998,104.33000200000001,9878,-1,[-1]
9308,45.152,96.415001,9877,-1,[-1]
8389,39.921001000000004,98.83000200000001,9876,-1,[-1]
4170,46.147999,96.08899699999999,9875,-1,[-1]
5353,31.865,101.904999,9874,-1,[-1]
6827,59.542999,89.464996,9873,-1,[-1]
3491,81.167999,70.877998,9872,-1,[-1]
488,28.163,104.377998,9871,-1,[-1]
7051,74.502998,78.406998,9870,-1,[-1]
3155,75.042,77.917999,9869,-1,[-1]
2830,76.445,76.889,9868,-1,[-1]
2758,34.859001,102.932999,9867,-1,[-1]
4541,68.111,85.084,9866,-1,[-1]
7340,18.683001,107.384003,9865,-1,[-1]
3781,65.152,87.445,9864,-1,[-1]
8059,44.811001,100.005997,9863,-1,[-1]
5805,63.5,89.41100300000001,9862,-1,[-1]
3716,39.623001,102.349998,9861,-1,[-1]
751,38.411999,102.886002,9860,-1,[-1]
7267,67.625,86.570999,9859,-1,[-1]
5342,71.081001,83.90100100000001,9858,-1,[-1]
1986,79.592003,76.397003,9857,-1,[-1]
354,24.009001,107.766998,9856,-1,[-1]
4631,59.443999999999996,93.225998,9855,-1,[-1]
7880,22.215999999999998,108.34899899999999,9854,-1,[-1]
2711,36.661999,104.369003,9853,-1,[-1]
2396,14.943,109.986,9852,-1,[-1]
4246,83.706001,72.958,9851,-1,[-1]
2389,68.915001,87.277,9850,-1,[-1]
8840,36.432999,105.086998,9849,-1,[-1]
3441,87.445,68.782997,9848,-1,[-1]
661,44.477001,102.126999,9847,-1,[-1]
4592,97.806,53.535999,9846,-1,[-1]
8369,96.503998,55.868,9845,-1,[-1]
7745,39.132999,104.498001,9844,-1,[-1]
2296,71.538002,85.821999,9843,-1,[-1]
9774,103.226997,43.122002,9842,-1,[-1]
7669,88.959999,68.012001,9841,-1,[-1]
8398,77.370003,81.32599599999999,9840,-1,[-1]
4313,76.441002,82.600998,9839,-1,[-1]
9249,80.57800300000001,79.45500200000001,9838,-1,[-1]
334,67.906998,90.611,9837,-1,[-1]
4982,56.640999,98.172997,9836,-1,[-1]
7796,75.458,84.596001,9835,-1,[-1]
3689,63.853001,93.95500200000001,9834,-1,[-1]
711,32.117001,109.217003,9833,-1,[-1]
6030,52.566002000000005,101.100998,9832,-1,[-1]
5898,73.414001,87.179001,9831,-1,[-1]
7222,79.446999,81.779999,9830,-1,[-1]
8685,71.383003,88.960999,9829,-1,[-1]
3040,20.122,112.334999,9828,-1,[-1]
8890,90.352997,69.805,9827,-1,[-1]
533,70.260002,90.167999,9826,-1,[-1]
2115,100.29900400000001,55.071999,9825,-1,[-1]
723,90.343002,70.324997,9824,-1,[-1]
2680,29.25,110.994003,9823,-1,[-1]
9769,72.884003,88.849998,9822,-1,[-1]
3498,54.955002,101.445999,9821,-1,[-1]
2312,40.106998,108.820999,9820,-1,[-1]
3282,45.113997999999995,106.949997,9819,-1,[-1]
2348,67.905998,94.487999,9818,-1,[-1]
19,90.306999,73.486,9817,-1,[-1]
8020,61.126999,99.230003,9816,-1,[-1]
5074,91.566002,72.211998,9815,-1,[-1]
4848,37.709,110.445,9814,-1,[-1]
5504,28.186999999999998,113.407997,9813,-1,[-1]
8285,33.276001,112.225998,9812,-1,[-1]
1667,37.275002,111.523003,9811,-1,[-1]
6233,90.817001,74.779999,9810,-1,[-1]
3270,96.318001,68.278,9809,-1,[-1]
1520,49.215,107.491997,9808,-1,[-1]
5554,42.771999,110.76799799999999,9807,-1,[-1]
4275,61.132999,101.850998,9806,-1,[-1]
1882,38.555,112.372002,9805,-1,[-1]
4538,67.155998,98.011002,9804,-1,[-1]
6207,20.492001000000002,117.848,9803,-1,[-1]
7149,72.269997,95.418999,9802,-1,[-1]
5323,89.385002,79.702003,9801,-1,[-1]
4539,89.968002,79.221001,9800,-1,[-1]
9593,90.210999,79.070999,9799,-1,[-1]
3582,116.35700200000001,29.340999999999998,9798,-1,[-1]
8734,108.059998,52.494999,9797,-1,[-1]
4249,62.701,102.640999,9796,-1,[-1]
9171,2.364,120.475998,9795,-1,[-1]
5823,67.981003,99.657997,9794,-1,[-1]
8813,44.408001,112.495003,9793,-1,[-1]
8050,92.34700000000001,78.25,9792,-1,[-1]
5487,93.474998,76.900002,9791,-1,[-1]
7444,90.015999,81.071999,9790,-1,[-1]
9896,89.09899899999999,82.280998,9789,-1,[-1]
2040,69.579002,99.589996,9788,-1,[-1]
7370,94.182999,76.748001,9787,-1,[-1]
8419,22.124001,119.550003,9786,-1,[-1]
